id,description,category,inputUnit,outputUnit,factor,formulaId,requiredInputs,defaultWastePct,minRecommended,maxRecommended,notes,tags,sourceBasis
clean_2_stone_tons_per_cy,#2 clean stone tons per CY,Aggregate,CY,TON,1.45,cy_to_tons,cy,5,1.35,1.55,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
clean_57_stone_tons_per_cy,"#57 / 3/4"" clean stone tons per CY",Aggregate,CY,TON,1.45,cy_to_tons,cy,5,1.35,1.55,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
clean_stone_sf_10in_to_tons,"SF to tons for 10"" #57 / clean stone",Aggregate,SF,TON,0.0447530864,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_12in_to_tons,"SF to tons for 12"" #57 / clean stone",Aggregate,SF,TON,0.0537037037,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_1in_to_tons,"SF to tons for 1"" #57 / clean stone",Aggregate,SF,TON,0.0044753086,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_2in_to_tons,"SF to tons for 2"" #57 / clean stone",Aggregate,SF,TON,0.0089506173,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_3in_to_tons,"SF to tons for 3"" #57 / clean stone",Aggregate,SF,TON,0.0134259259,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_4in_to_tons,"SF to tons for 4"" #57 / clean stone",Aggregate,SF,TON,0.0179012346,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_5in_to_tons,"SF to tons for 5"" #57 / clean stone",Aggregate,SF,TON,0.0223765432,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_6in_to_tons,"SF to tons for 6"" #57 / clean stone",Aggregate,SF,TON,0.0268518519,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sf_8in_to_tons,"SF to tons for 8"" #57 / clean stone",Aggregate,SF,TON,0.0358024691,sf_depth_in_to_cy,sf,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_10in_to_tons,"SY to tons for 10"" #57 / clean stone",Aggregate,SY,TON,0.4027777778,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_12in_to_tons,"SY to tons for 12"" #57 / clean stone",Aggregate,SY,TON,0.4833333333,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_1in_to_tons,"SY to tons for 1"" #57 / clean stone",Aggregate,SY,TON,0.0402777778,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_2in_to_tons,"SY to tons for 2"" #57 / clean stone",Aggregate,SY,TON,0.0805555556,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_3in_to_tons,"SY to tons for 3"" #57 / clean stone",Aggregate,SY,TON,0.1208333333,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_4in_to_tons,"SY to tons for 4"" #57 / clean stone",Aggregate,SY,TON,0.1611111111,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_5in_to_tons,"SY to tons for 5"" #57 / clean stone",Aggregate,SY,TON,0.2013888889,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_6in_to_tons,"SY to tons for 6"" #57 / clean stone",Aggregate,SY,TON,0.2416666667,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
clean_stone_sy_8in_to_tons,"SY to tons for 8"" #57 / clean stone",Aggregate,SY,TON,0.3222222222,sy_depth_in_to_cy,sy,7,,,"Uses 1.45 tons/CY. Good for clean stone, bedding, drainage aggregate.",clean-stone|57-stone|pipe-bedding,
crusher_run_sf_10in_to_tons,"SF to tons for 10"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0540123457,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_12in_to_tons,"SF to tons for 12"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0648148148,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_1in_to_tons,"SF to tons for 1"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0054012346,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_2in_to_tons,"SF to tons for 2"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0108024691,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_3in_to_tons,"SF to tons for 3"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0162037037,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_4in_to_tons,"SF to tons for 4"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0216049383,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_5in_to_tons,"SF to tons for 5"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0270061728,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_6in_to_tons,"SF to tons for 6"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0324074074,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sf_8in_to_tons,"SF to tons for 8"" crusher run / dense graded aggregate",Aggregate,SF,TON,0.0432098765,sf_depth_in_to_cy,sf,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_10in_to_tons,"SY to tons for 10"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.4861111111,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_12in_to_tons,"SY to tons for 12"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.5833333333,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_1in_to_tons,"SY to tons for 1"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.0486111111,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_2in_to_tons,"SY to tons for 2"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.0972222222,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_3in_to_tons,"SY to tons for 3"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.1458333333,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_4in_to_tons,"SY to tons for 4"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.1944444444,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_5in_to_tons,"SY to tons for 5"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.2430555556,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_6in_to_tons,"SY to tons for 6"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.2916666667,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_sy_8in_to_tons,"SY to tons for 8"" crusher run / dense graded aggregate",Aggregate,SY,TON,0.3888888889,sy_depth_in_to_cy,sy,5,,,Uses 1.75 tons/CY. User should override density if quarry ticket history differs.,crusher-run|base-stone,
crusher_run_tons_per_cy,Crusher run / dense graded aggregate tons per CY,Aggregate,CY,TON,1.75,cy_to_tons,cy,5,1.65,1.85,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
riprap_tons_per_cy,Riprap tons per CY,Aggregate,CY,TON,1.55,cy_to_tons,cy,5,1.4,1.7,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
sand_tons_per_cy,Sand tons per CY,Aggregate,CY,TON,1.45,cy_to_tons,cy,5,1.3,1.6,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
screenings_tons_per_cy,Limestone screenings tons per CY,Aggregate,CY,TON,1.6,cy_to_tons,cy,5,1.5,1.7,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
solid_limestone_tons_per_cy,Solid/graded limestone rock tons per CY,Aggregate,CY,TON,1.76,cy_to_tons,cy,5,1.6,1.9,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
tdot_aggregate_base_tons_per_cy,Aggregate base / mineral aggregate tons per CY,Aggregate,CY,TON,1.75,cy_to_tons,cy,5,1.65,1.85,"Density varies by quarry, gradation, moisture, and compaction. Allow user override.",density|material-density,
asphalt_sf_0_5in_to_tons,"SF to tons for 0.5"" compacted asphalt",Asphalt,SF,TON,0.0030555556,asphalt_sf_depth_to_tons,sf,5,0.00291666665,0.00333333335,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_0_75in_to_tons,"SF to tons for 0.75"" compacted asphalt",Asphalt,SF,TON,0.0045833333,asphalt_sf_depth_to_tons,sf,5,0.004374999975,0.005000000025,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_1_25in_to_tons,"SF to tons for 1.25"" compacted asphalt",Asphalt,SF,TON,0.0076388889,asphalt_sf_depth_to_tons,sf,5,0.007291666625,0.008333333375,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_1_5in_to_tons,"SF to tons for 1.5"" compacted asphalt",Asphalt,SF,TON,0.0091666667,asphalt_sf_depth_to_tons,sf,5,0.00874999995,0.01000000005,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
